id,name,restaurant_id,category_id
0,Blue Raspberry Slushee,1,1
1,Blue Raspberry Slushee,1,1
2,Blue Raspberry Slushee,1,1
3,Blue Raspberry Slushee,1,1
4,Breaded Onion Rings (Large),1,3
5,Breaded Onion Rings (Regular),1,3
6,Caramel Sundae,1,4
7,Cheese Curds (Large),1,3
8,Cheese Curds (Regular),1,3
9,Cheese Fries,1,6
10,Cheeseburger,1,7
11,Cherry Limeade,1,1
12,Cherry Limeade,1,1
13,Cherry Limeade,1,1
14,Cherry Limeade,1,1
15,Cherry Slushee,1,1
16,Cherry Slushee,1,1
17,Cherry Slushee,1,1
18,Cherry Slushee,1,1
19,Chicken Strips- 3 pieces,1,8
20,Chili,1,3
21,Chili Cheese Fries,1,6
22,Chili Fries,1,6
23,Chocolate Fudge Blendrrr,1,4
24,Chocolate Fudge Blendrrr,1,4
25,Chocolate Fudge Blendrrr,1,4
26,Chocolate Milkshake (medium),1,2
27,Chocolate Milkshake (small),1,2
28,Chocolate Sundae,1,4
29,Crispy Chicken Sandwich,1,8
30,Crunchy Shrimp,1,9
31,Extra Burger Patty,1,3
32,French Fries (Large),1,6
33,French Fries (Regular),1,6
34,French Fries (Small/ Kids),1,6
35,Grilled Chicken Sandwich,1,8
36,Hot Fudge Sundae,1,4
37,Lemon Slushee,1,1
38,Lemon Slushee,1,1
39,Lemon Slushee,1,1
40,Lemon Slushee,1,1
41,Lime Slushee,1,1
42,Lime Slushee,1,1
43,Lime Slushee,1,1
44,Lime Slushee,1,1
45,Limeade,1,1
46,Limeade,1,1
47,Limeade,1,1
48,Limeade,1,1
49,M&M’s® Polar Swirl®,1,4
50,Orange Float (large),1,2
51,Orange Float (medium),1,2
52,Orange Float (small),1,2
53,Orange Freeze (medium),1,2
54,Orange Freeze (medium),1,2
55,Orange Freeze (small),1,2
56,Oreo® Cookies & Cream Blendrrr,1,4
57,Oreo® Cookies & Cream Blendrrr,1,4
58,Oreo® Cookies & Cream Blendrrr,1,4
59,Oreo® Polar Swirl®,1,4
60,Original Double Cheeseburger,1,7
61,Papa Burger®,1,7
62,Papa Single Burger,1,7
63,Pineapple Banana Smoothee,1,2
64,Pineapple Banana Smoothee,1,2
65,Pineapple Banana Smoothee,1,2
66,Reese’s® Peanut Butter Fudge Blendrrr,1,4
67,Reese’s® Peanut Butter Fudge Blendrrr,1,4
68,Reese’s® Peanut Butter Fudge Blendrrr,1,4
69,Reese’s® Polar Swirl®,1,4
70,Strawberry Banana Smoothee,1,2
71,Strawberry Banana Smoothee,1,2
72,Strawberry Banana Smoothee,1,2
73,Strawberry Limeade,1,1
74,Strawberry Limeade,1,1
75,Strawberry Limeade,1,1
76,Strawberry Limeade,1,1
77,Strawberry Milkshake (medium),1,2
78,Strawberry Milkshake (small),1,2
79,Strawberry Smoothee,1,2
80,Strawberry Smoothee,1,2
81,Strawberry Smoothee,1,2
82,Strawberry Sundae,1,4
83,Vanilla Cone (large),1,4
84,Vanilla Cone (regular),1,4
85,Vanilla Milkshake (medium,1,2
86,Vanilla Milkshake (small),1,2
87,Watermelon Slushee,1,1
88,Watermelon Slushee,1,1
89,Watermelon Slushee,1,1
90,Watermelon Slushee,1,1
91,Add Fried Shrimp,2,3
92,Add Grilled Shrimp,2,3
93,Appetizer Sampler,2,10
94,"Apple Walnut Chicken Salad, Half",2,11
95,"Apple Walnut Chicken Salad, Half w/o dressing",2,11
96,"Apple Walnut Chicken Salad, Regular",2,11
97,"Apple Walnut Chicken Salad, Regular w/o dressing",2,11
98,Applebee’s House Salad,2,11
99,Applebee’s House Salad (without dressing),2,11
100,Applebee’s Limeades,2,1
101,Applebee’s Reuben,2,12
102,Applebee’s Reuben,2,12
103,Applebee’s Riblets Basket,2,13
104,Applebee’s Riblets Platter,2,13
105,Asiago Peppercorn Steak,2,5
106,Asiago Peppercorn Steak w/sides,2,5
107,Baked Potato,2,3
108,Baked Potato Soup,2,14
109,Baked Potato Soup,2,14
110,Black Bean Soup,2,14
111,Blackened Tilapia Sandwich,2,12
112,Blue Ribbon Brownie,2,4
113,"Boneless Wings, Classic Buffalo",2,10
114,"Boneless Wings, Honey BBQ",2,10
115,"Boneless Wings, Hot Buffalo",2,10
116,"Boneless Wings, Southern BBQ",2,10
117,"Boneless Wings, Sweet & spicy sauce",2,10
118,Bourbon Street Chicken & Shrimp,2,5
119,Bourbon Street Steak,2,5
120,Breadstick,2,3
121,Broccoli Cheddar Soup,2,14
122,Broccoli Cheddar Soup,2,14
123,Brownie Bite,2,4
124,Bruschetta Chicken,2,8
125,"Bruschetta Chicken Salad, Half",2,11
126,"Bruschetta Chicken Salad, Half w/o dressing",2,11
127,"Bruschetta Chicken Salad, Regular",2,11
128,"Bruschetta Chicken Salad, Regular w/o dressing",2,11
129,Caesar Salad,2,11
130,Cajun Shrimp Pasta,2,5
131,"California Shrimp Salad, Half",2,11
132,"California Shrimp Salad, Half w/o dressing",2,11
133,"California Shrimp Salad, Regular",2,11
134,"California Shrimp Salad, Regular w/o dressing",2,11
135,California Turkey Club,2,12
136,Cheese Quesadilla Grande,2,10
137,Cheeseburger,2,7
138,Cheeseburger Sliders,2,7
