id,name
0,Blue Raspberry Slushee
1,Blue Raspberry Slushee
2,Blue Raspberry Slushee
3,Blue Raspberry Slushee
4,Breaded Onion Rings (Large)
5,Breaded Onion Rings (Regular)
6,Caramel Sundae
7,Cheese Curds (Large)
8,Cheese Curds (Regular)
9,Cheese Fries
10,Cheeseburger
11,Cherry Limeade
12,Cherry Limeade
13,Cherry Limeade
14,Cherry Limeade
15,Cherry Slushee
16,Cherry Slushee
17,Cherry Slushee
18,Cherry Slushee
19,Chicken Strips- 3 pieces
20,Chili
21,Chili Cheese Fries
22,Chili Fries
23,Chocolate Fudge Blendrrr
24,Chocolate Fudge Blendrrr
25,Chocolate Fudge Blendrrr
26,Chocolate Milkshake (medium)
27,Chocolate Milkshake (small)
28,Chocolate Sundae
29,Crispy Chicken Sandwich
30,Crunchy Shrimp
31,Extra Burger Patty
32,French Fries (Large)
33,French Fries (Regular)
34,French Fries (Small/ Kids)
35,Grilled Chicken Sandwich
36,Hot Fudge Sundae
37,Lemon Slushee
38,Lemon Slushee
39,Lemon Slushee
40,Lemon Slushee
41,Lime Slushee
42,Lime Slushee
43,Lime Slushee
44,Lime Slushee
45,Limeade
46,Limeade
47,Limeade
48,Limeade
49,M&M’s® Polar Swirl®
50,Orange Float (large)
51,Orange Float (medium)
52,Orange Float (small)
53,Orange Freeze (medium)
54,Orange Freeze (medium)
55,Orange Freeze (small)
56,Oreo® Cookies & Cream Blendrrr
57,Oreo® Cookies & Cream Blendrrr
58,Oreo® Cookies & Cream Blendrrr
59,Oreo® Polar Swirl®
60,Original Double Cheeseburger
61,Papa Burger®
62,Papa Single Burger
63,Pineapple Banana Smoothee
64,Pineapple Banana Smoothee
65,Pineapple Banana Smoothee
66,Reese’s® Peanut Butter Fudge Blendrrr
67,Reese’s® Peanut Butter Fudge Blendrrr
68,Reese’s® Peanut Butter Fudge Blendrrr
69,Reese’s® Polar Swirl®
70,Strawberry Banana Smoothee
71,Strawberry Banana Smoothee
72,Strawberry Banana Smoothee
73,Strawberry Limeade
74,Strawberry Limeade
75,Strawberry Limeade
76,Strawberry Limeade
77,Strawberry Milkshake (medium)
78,Strawberry Milkshake (small)
79,Strawberry Smoothee
80,Strawberry Smoothee
81,Strawberry Smoothee
82,Strawberry Sundae
83,Vanilla Cone (large)
84,Vanilla Cone (regular)
85,Vanilla Milkshake (medium
86,Vanilla Milkshake (small)
87,Watermelon Slushee
88,Watermelon Slushee
89,Watermelon Slushee
90,Watermelon Slushee
91,Add Fried Shrimp
92,Add Grilled Shrimp
93,Appetizer Sampler
94,"Apple Walnut Chicken Salad, Half"
95,"Apple Walnut Chicken Salad, Half w/o dressing"
