id,name
2001,Cinnamon Honey Butter (1 ounce)
2002,Classic Calabash and Gold Ribs
2003,Classic Calabash Chicken Dinner
2004,Classic Cheeseburger
2005,"Classic FATZ Famous Fish, Blackened"
2006,"Classic FATZ Famous Fish, Fried"
2007,"Classic FATZ Famous Fish, Key West Style"
2008,Classic FATZ Fish and Chips
2009,Classic Lite GrilledShrimp Skewer
2010,Classic Smothered Chopped Steak
2011,Club Sandwich Tray with Hoagie Rolls (per 1/2 sandwich)
2012,Club Sandwich Tray with Texas Toast (per 1/2 sandwich)
2013,Club Sandwich Tray with Tomato Basil Wraps(per 1/2 sandwich)
2014,Club Sandwich Tray with Wheat Bread (per 1/2 sandwich)
2015,Country Fried Steak
2016,Double Fudge Brownie
2017,Edisto Shrimp and Grits
2018,Farmhouse Burger
2019,Farmhouse Cheese Burger
2020,FATZ Club Sandwich
2021,FATZ Cobb Salad
2022,"FATZ Famous Fish Platter, Blackened (1 Fillet)"
2023,"FATZ Famous Fish Platter, Blackened (2 Fillets)"
2024,"FATZ Famous Fish Platter, Fried (1 Fillet)"
2025,"FATZ Famous Fish Platter, Fried (2 Fillets)"
2026,"FATZ Famous Fish Platter, Key West Style (1 Fillet)"
2027,"FATZ Famous Fish Platter, Key West Style (2 Fillets)"
2028,"FATZ Famous Fish Sandwich, Blackened"
2029,"FATZ Famous Fish Sandwich, Fried"
2030,"FATZ Famous Fish Sandwich, Key West Style"
2031,FATZ Onyum Burger
2032,Fiesta Nachos
2033,Fiesta Nachos with Fire Grilled Chipotle Chicken
2034,Fiesta Nachos with Tangy Ground Beef
2035,French Fries
2036,Fresh Grilled Asparagus with Lemon Butter Sauce
2037,Fried Chocolate Cream Cookies (3 cookies)
2038,Fried Green Tomato Slider Tray (per serving)
2039,Fried Green Tomatoes
2040,Fried Shrimp ( 3 pieces)
2041,Garden Blend Rice
2042,Garlic Calamari
2043,Grilled Chicken Club
2044,"Grilled Salmon with Corn, Tomato and Avocado Relish"
2045,Grilled Shrimp and Veggie Harpoons
2046,Grilled Shrimp Skewer
2047,Hickory Burger
2048,House Salad
2049,"Ice Cream, Vanilla (4 fluid ounces)"
2050,Kids Banana Freeze
2051,Kids Calabash Chicken
2052,Kids Cheese Quesadilla
2053,Kids Cheeseburger
2054,Kids Chicken and Cheese Quesadilla
2055,Kids Fish and Chips
2056,Kids Grilled Cheese Sandwich
2057,Kids Grilled Chicken Sandwich
2058,Kids Grilled Salmon with Broccoli
2059,Kids Pasta with Alfredo Sauce
2060,Kids Pasta with Cheese Sauce
2061,Kids Peach Freeze
2062,Kids Popcorn Shrimp
2063,Kids Salad
2064,"Kids Specialty Soda, Cherry Diet Pepsi"
2065,"Kids Specialty Soda, Cherry Pepsi"
2066,"Kids Specialty Soda, Cherry Sprite"
2067,"Kids Specialty Soda, Orange Diet Pepsi"
2068,"Kids Specialty Soda, Orange Pepsi"
2069,"Kids Specialty Soda, Orange Sprite"
2070,Kids Strawberry Freeze
2071,Kids Sugar Free Chocolate Mousse Shooter
2072,Kids Sundae
2073,Killer Shrimp
2074,Killer Shrimp and Ribs
2075,Large Brownie and Cheesecake Combo Tray (per serving)
2076,Large Brownie Tray (per serving)
