id,calories,carbs,fat
0,270,67.0,0
1,370,91.0,0
2,570,142.0,0
3,740,182.0,0
4,480,62.0,27
5,350,45.0,16
6,340,57.0,9
7,1140,54.0,80
8,570,27.0,40
9,390,50.0,18
10,420,37.0,21
11,190,51.0,0
12,300,79.0,0
13,340,90.0,0
14,530,138.0,0
15,330,83.0,0
16,450,112.0,0
17,570,141.0,0
18,900,224.0,0
19,500,32.0,29
20,190,22.0,6
21,410,52.0,17
22,370,49.0,15
23,490,68.0,30
24,560,92.0,32
25,1010,152.0,59
26,880,125.0,36
27,700,100.0,29
28,320,53.0,8
29,550,52.0,25
30,340,34.0,19
31,170,2.0,12
32,430,61.0,17
33,310,45.0,12
34,200,28.0,8
35,400,31.0,15
36,350,54.0,11
37,330,82.0,0
38,440,110.0,0
39,560,139.0,0
40,890,221.0,0
41,280,69.0,0
42,380,94.0,0
43,480,119.0,0
44,770,188.0,0
45,140,38.0,0
46,210,55.0,0
47,250,66.0,0
48,390,103.0,0
49,710,107.0,25
50,610,137.0,9
51,340,81.0,4
52,320,74.0,4
53,600,142.0,10
54,970,223.0,18
55,450,108.0,8
56,340,56.0,12
57,430,72.0,15
58,650,109.0,21
59,690,107.0,24
60,680,44.0,38
61,690,44.0,39
62,470,38.0,25
63,400,85.0,6
64,480,104.0,6
65,750,160.0,10
66,700,103.0,41
67,710,108.0,41
68,1360,203.0,79
69,740,97.0,31
70,390,78.0,6
71,420,86.0,6
72,680,137.0,10
73,230,58.0,0
74,290,75.0,0
75,420,105.0,0
76,560,143.0,0
77,840,113.0,36
78,670,90.0,29
79,360,70.0,6
80,370,74.0,6
81,610,121.0,10
82,300,47.0,8
83,260,41.0,7
84,200,32.0,5
85,900,121.0,39
86,720,97.0,31
87,270,73.0,0
88,360,99.0,0
89,460,124.0,0
90,720,197.0,0
91,390,35.0,21
92,230,2.0,17
93,2375,169.0,162
94,630,33.0,43
95,350,15.0,20
96,1030,54.0,67
97,470,18.0,22
98,180,12.0,15
99,180,12.0,15
100,130,59.0,0
101,1140,49.0,81
102,630,25.0,47
103,1115,92.0,55
